Complexity,Freq,Status
5.9266,162294.0,Rand
8.1491,3128.0,Rand
8.89,98542.0,Rand
7.4083,98068.0,Rand
7.4083,127430.0,Rand
7.4083,47378.0,Rand
8.1491,259594.0,Rand
8.89,21349.0,Rand
8.89,89518.0,Rand
8.89,109585.0,Rand
7.4083,108105.0,Rand
8.1491,102049.0,Rand
10.3716,311086.0,Rand
9.6308,595.0,Rand
8.89,73787.0,Rand
8.1491,50344.0,Rand
6.6675,5193.0,Rand
8.89,146774.0,Rand
7.4083,28562.0,Rand
5.9266,211831.0,Rand
8.1491,386746.0,Rand
8.89,127828.0,Rand
8.1491,58701.0,Rand
7.4083,106821.0,Rand
7.4083,108008.0,Rand
8.1491,2394.0,Rand
7.4083,50693.0,Rand
8.1491,315742.0,Rand
8.89,30222.0,Rand
7.4083,203469.0,Rand
8.1491,49348.0,Rand
6.6675,72424.0,Rand
7.4083,77670.0,Rand
8.89,230980.0,Rand
5.1858,52514.0,Rand
8.89,269367.0,Rand
7.4083,30240.0,Rand
5.9266,6287.0,Rand
7.4083,122456.0,Rand
7.4083,57672.0,Rand
8.1491,145277.0,Rand
10.3716,333829.0,Rand
7.4083,68953.0,Rand
8.1491,152013.0,Rand
8.1491,65634.0,Rand
5.9266,116691.0,Rand
8.1491,8054.0,Rand
8.89,98926.0,Rand
8.1491,57304.0,Rand
8.1491,85222.0,Rand
7.4083,142619.0,Rand
7.4083,4659.0,Rand
8.89,69094.0,Rand
8.1491,138112.0,Rand
8.1491,119008.0,Rand
8.89,43923.0,Rand
8.1491,38587.0,Rand
7.4083,140308.0,Rand
8.89,48666.0,Rand
7.4083,37361.0,Rand
8.1491,24663.0,Rand
7.4083,64517.0,Rand
9.6308,36704.0,Rand
8.1491,116850.0,Rand
7.4083,23140.0,Rand
9.6308,50744.0,Rand
6.6675,40861.0,Rand
8.1491,21411.0,Rand
8.1491,43428.0,Rand
6.6675,39043.0,Rand
9.6308,21622.0,Rand
8.89,35349.0,Rand
8.89,91884.0,Rand
8.89,711.0,Rand
8.89,124012.0,Rand
8.1491,128866.0,Rand
9.6308,3958.0,Rand
6.6675,72311.0,Rand
8.1491,106770.0,Rand
7.4083,32954.0,Rand
8.1491,33152.0,Rand
8.89,141611.0,Rand
8.1491,133489.0,Rand
6.6675,71691.0,Rand
7.4083,29039.0,Rand
6.6675,53598.0,Rand
9.6308,24208.0,Rand
8.89,99339.0,Rand
7.4083,27538.0,Rand
8.89,172528.0,Rand
6.6675,58164.0,Rand
9.6308,33226.0,Rand
8.1491,42282.0,Rand
7.4083,84680.0,Rand
8.89,114220.0,Rand
8.1491,14058.0,Rand
8.1491,2455.0,Rand
7.4083,33307.0,Rand
8.1491,209788.0,Rand
8.89,201351.0,Rand
7.4083,128430.0,Rand
8.89,64707.0,Rand
9.6308,14165.0,Rand
7.4083,9437.0,Rand
8.89,58461.0,Rand
7.4083,117589.0,Rand
7.4083,67790.0,Rand
8.89,234574.0,Rand
7.4083,165319.0,Rand
8.1491,174520.0,Rand
8.1491,11866.0,Rand
7.4083,30395.0,Rand
7.4083,20361.0,Rand
10.3716,1126.0,Rand
9.6308,35708.0,Rand
8.1491,17896.0,Rand
8.89,85198.0,Rand
8.1491,70162.0,Rand
9.6308,20820.0,Rand
8.89,35820.0,Rand
8.89,153999.0,Rand
7.4083,12382.0,Rand
8.1491,9868.0,Rand
8.1491,20461.0,Rand
7.4083,75882.0,Rand
7.4083,83881.0,Rand
8.1491,42810.0,Rand
7.4083,9110.0,Rand
6.6675,18082.0,Rand
8.1491,9699.0,Rand
8.89,2475.0,Rand
8.1491,51546.0,Rand
8.89,1793.0,Rand
8.89,124186.0,Rand
7.4083,71034.0,Rand
7.4083,56735.0,Rand
8.89,155706.0,Rand
8.89,23612.0,Rand
7.4083,68483.0,Rand
7.4083,37790.0,Rand
8.1491,53476.0,Rand
7.4083,133877.0,Rand
7.4083,32585.0,Rand
8.1491,55177.0,Rand
8.1491,28082.0,Rand
8.89,84956.0,Rand
5.9266,7475.0,Rand
5.9266,217969.0,Rand
8.1491,2661.0,Rand
10.3716,7912.0,Rand
9.6308,20965.0,Rand
7.4083,97415.0,Rand
8.1491,130187.0,Rand
6.6675,5264.0,Rand
7.4083,205768.0,Rand
8.89,3528.0,Rand
8.89,60265.0,Rand
8.1491,35127.0,Rand
7.4083,96348.0,Rand
6.6675,67428.0,Rand
7.4083,55572.0,Rand
8.89,31012.0,Rand
7.4083,97257.0,Rand
8.89,41162.0,Rand
7.4083,42035.0,Rand
7.4083,28376.0,Rand
6.6675,108815.0,Rand
7.4083,59807.0,Rand
8.1491,30384.0,Rand
8.89,21608.0,Rand
9.6308,15277.0,Rand
6.6675,15972.0,Rand
6.6675,31682.0,Rand
8.89,92148.0,Rand
7.4083,37762.0,Rand
7.4083,34318.0,Rand
8.1491,9104.0,Rand
8.1491,113466.0,Rand
8.89,21104.0,Rand
8.1491,113746.0,Rand
7.4083,18569.0,Rand
8.89,13742.0,Rand
8.1491,16418.0,Rand
9.6308,2604.0,Rand
8.89,33413.0,Rand
8.1491,71835.0,Rand
10.3716,91757.0,Rand
8.1491,82895.0,Rand
8.1491,100929.0,Rand
7.4083,29282.0,Rand
8.89,3243.0,Rand
